epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9244,2.16789,7.39973,1.4704,0.00014,0.02174,8e-05,2e-05,1.63883,5.18825,1.09348,0.00038583,0.00038583,0.00038583
2,31.3702,1.91327,5.53414,1.26252,0.0023,0.36507,0.16907,0.07078,1.74822,4.8998,1.14314,0.000734077,0.000734077,0.000734077
3,45.4817,2.00643,5.97188,1.24262,0.00293,0.37331,0.15055,0.07898,1.77377,4.74466,1.18738,0.00102951,0.00102951,0.00102951
4,59.3581,1.90732,4.83989,1.29959,1,0.05473,0.20685,0.10933,1.9645,4.63408,1.2923,0.00114606,0.00114606,0.00114606
5,73.2251,2.01994,4.45338,1.36863,0.15935,0.19565,0.15733,0.07885,2.00586,4.18076,1.31759,0.00105174,0.00105174,0.00105174
6,88.6109,1.97094,4.87786,1.34291,0.40728,0.25187,0.22472,0.11479,1.92518,3.89879,1.2843,0.00095743,0.00095743,0.00095743
7,104.981,2.04634,4.99042,1.41289,0.52813,0.32984,0.3122,0.16272,1.84889,3.80587,1.29817,0.000863116,0.000863116,0.000863116
8,120.694,1.84475,4.18964,1.35411,0.6141,0.38156,0.34501,0.19054,1.82315,3.58522,1.26755,0.000768802,0.000768802,0.000768802
9,135.998,1.89151,4.10549,1.36718,0.63734,0.35644,0.35107,0.18999,1.7462,3.7638,1.2248,0.000674488,0.000674488,0.000674488
10,151.46,1.83268,3.78346,1.35043,0.70776,0.3081,0.3486,0.20439,1.74637,3.47588,1.22865,0.000580174,0.000580174,0.000580174
11,166.663,1.80324,3.87961,1.2927,0.59459,0.32984,0.37018,0.21169,1.81698,3.45751,1.28432,0.00048586,0.00048586,0.00048586
12,182.162,1.78129,4.15627,1.27287,0.51703,0.37331,0.39102,0.20848,1.87197,3.494,1.2993,0.000391546,0.000391546,0.000391546
13,197.452,1.72203,4.35329,1.19505,0.5274,0.37325,0.40457,0.22031,1.84323,3.43695,1.27961,0.000297232,0.000297232,0.000297232
14,212.124,1.73375,3.80194,1.21625,0.52127,0.31378,0.39161,0.22257,1.76827,3.37444,1.28129,0.000202918,0.000202918,0.000202918
15,226.987,1.64083,4.02896,1.20876,0.86846,0.27467,0.39235,0.23329,1.74096,3.31121,1.27575,0.000108604,0.000108604,0.000108604
